cropid	cropname	primary(1)_secondary(2)_feed(3)	Edible_(1 yes)_(0isno)_(2isnonnutritinoal)	ProductionL	TradeL	FBS ID	FBS name	group	kcal/ton	Protein(g/ton)	Fat(g/ton)	Group	Groupnum
1060	Fat Liver Prep (Foie Gras)	2		0	1	2734	Poultry Meat	Meat	4620000	114000	438000	17 - PRODUCTS FROM SLAUGHTERED ANIMALS	17
1061	Meat of Chicken Canned	2		0	1	2734	Poultry Meat	Meat	1650000	218000	80000	17 - PRODUCTS FROM SLAUGHTERED ANIMALS	17
1062	"Hen eggs, in shell"	1		1	1	2744	Eggs	Eggs	1390000	107000	98000	18 - PRODUCTS FROM LIVE ANIMALS	18
1063	Eggs Liquid	2		0	1	2744	Eggs	Eggs	1580000	121000	112000	18 - PRODUCTS FROM LIVE ANIMALS	18
1064	Eggs Dried	2		0	1	2744	Eggs	Eggs	5940000	458000	418000	18 - PRODUCTS FROM LIVE ANIMALS	18
1065	Fat of Poultry	2		0	1	2737	"Fats, Animals, Raw"	Meat	6290000	37000	680000	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
1066	Fat of Ptry Rend	2		0	1	2737	"Fats, Animals, Raw"	Meat	9010000	0	998000	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
1068	Ducks	2		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	16 - LIVESTOCK	16
1069	Duck meat	1		1	1	2734	Poultry Meat	Meat	2910000	83000	283000	17 - PRODUCTS FROM SLAUGHTERED ANIMALS	17
1072	Geese and guinea fowls	2		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	16 - LIVESTOCK	16
1073	Goose and guinea fowl meat	1		1	1	2734	Poultry Meat	Meat	3010000	129000	272000	17 - PRODUCTS FROM SLAUGHTERED ANIMALS	17
1074	Offals Liver Geese	2		0	1	2736	"Offals, Edible"	Meat	1330000	164000	43000	17 - PRODUCTS FROM SLAUGHTERED ANIMALS	17
1075	Offals Liver Duck	2		0	1	2736	"Offals, Edible"	Meat	1360000	187000	46000	17 - PRODUCTS FROM SLAUGHTERED ANIMALS	17
1079	Turkeys	2		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	16 - LIVESTOCK	16
1080	Turkey meat	1		1	1	2734	Poultry Meat	Meat	1260000	161000	63000	17 - PRODUCTS FROM SLAUGHTERED ANIMALS	17
