cropid	cropname	primary(1)_secondary(2)_feed(3)	Edible_(1 yes)_(0isno)_(2isnonnutritinoal)	ProductionL	TradeL	FBS ID	FBS name	group	kcal/ton	Protein(g/ton)	Fat(g/ton)	Group	Groupnum
125	Cassava	1	1	1	1	2532	Cassava	Roots	1090000	9000	2000	2 - ROOTS AND TUBERS AND DERIVED PRODUCTS	2
126	Flour of Cassava	2		0	1	2532	Cassava	Roots	3380000	15000	6000	2 - ROOTS AND TUBERS AND DERIVED PRODUCTS	2
127	Tapioca of Cassava	2		0	1	2532	Cassava	Roots	3620000	5000	3000	2 - ROOTS AND TUBERS AND DERIVED PRODUCTS	2
128	Cassava Dried	2		0	1	2532	Cassava	Roots	2550000	28000	7000	2 - ROOTS AND TUBERS AND DERIVED PRODUCTS	2
129	Cassava Starch	2		0	1	2532	Cassava	Roots	3620000	5000	3000	2 - ROOTS AND TUBERS AND DERIVED PRODUCTS	2
135	Yautia (cocoyam)	1	1	1	1	2534	"Roots, Other"	Roots	1090000	17000	3000	2 - ROOTS AND TUBERS AND DERIVED PRODUCTS	2
136	Taro (cocoyam)	1	1	1	1	2534	"Roots, Other"	Roots	860000	15000	2000	2 - ROOTS AND TUBERS AND DERIVED PRODUCTS	2
137	Yams	1	1	1	1	2535	Yams	Roots	1010000	13000	2000	2 - ROOTS AND TUBERS AND DERIVED PRODUCTS	2
149	"Roots and Tubers, nes"	1	1	1	1	2534	"Roots, Other"	Roots	910000	16000	2000	2 - ROOTS AND TUBERS AND DERIVED PRODUCTS	2
150	Flour of Roots and Tubers	2		0	1	2534	"Roots, Other"	Roots	2820000	50000	6000	2 - ROOTS AND TUBERS AND DERIVED PRODUCTS	2
151	Roots and Tubers Dried	2		0	1	2534	"Roots, Other"	Roots	2820000	50000	6000	2 - ROOTS AND TUBERS AND DERIVED PRODUCTS	2
156	Sugar cane	1	1	1	1	2536	Sugar Cane	Fruits&Vegs	300000	2000	0	3 - SUGAR CROPS AND SWEETENERS AND DERIVED PRODUCTS	3
157	Sugar beet	1	1	1	1	2537	Sugar Beet	Roots	700000	13000	1000	3 - SUGAR CROPS AND SWEETENERS AND DERIVED PRODUCTS	3
160	Maple Sugar and Syrups	2		0	1	2543	"Sweeteners, Other"	Sugar	3480000	0	0	3 - SUGAR CROPS AND SWEETENERS AND DERIVED PRODUCTS	3
